20181001|13136|V2.0
CIMB-PRINCIPAL EUEQ|CPAM KOEQ|6|
CIMB-PRINCIPAL EUEQ|CIMB-PRINCIPAL GSA|6|
CIMB-PRINCIPAL EUEQ|CIMB-PRINCIPAL GIF|6|
CIMB-PRINCIPAL EUEQ|CIMB-PRINCIPAL GEQ|6|
CIMB-PRINCIPAL EUEQ|CIMB-PRINCIPAL APDI 3+3 (2)|6|
CIMB-PRINCIPAL FIRMF|CIMB-PRINCIPAL (FAM) RMF|2|
CIMB-PRINCIPAL FIRMF|CIMB-PRINCIPAL (FAM) SET100RMF|2|
CIMB-PRINCIPAL FIRMF|CIMB-PRINCIPAL (FAM) FBVRMF|2|
CIMB-PRINCIPAL FIRMF|CIMB-PRINCIPAL (FAM) RSRMF|2|
CIMB-PRINCIPAL FIRMF|CIMB-PRINCIPAL PRMF|2|
CIMB-PRINCIPAL FIRMF|CIMB-PRINCIPAL EQRMF|2|
CIMB-PRINCIPAL FIRMF|CIMB-PRINCIPAL iPROPRMF|2|
CIMB-PRINCIPAL FIRMF|CIMB-PRINCIPAL APDIRMF|2|
CIMB-PRINCIPAL GBF|CIMB-PRINCIPAL iPROP-R|6|
CIMB-PRINCIPAL GBF|CIMB-PRINCIPAL iPROP-D|6|
CIMB-PRINCIPAL GBF|CIMB-PRINCIPAL iPROP-A|6|
CIMB-PRINCIPAL GBF|CIMB-PRINCIPAL SIF|6|
CIMB-PRINCIPAL GBF|CIMB-PRINCIPAL iPROP-C|6|
CIMB-PRINCIPAL GBF|CIMB-PRINCIPAL GREITs|6|
